entity_name,entity_type,theme_id
Homero,people,30
Virgilio,people,30
Platón,people,30
Cicerón,people,30
Grecia,places,30
Roma,places,30
Atenas,places,30
Latium,places,30
Desarrollo del alfabeto griego,events,30
Expansión del latín en el Imperio Romano,events,30
Latín,places,11
Galego,places,11
Castelán,places,11
Hipócrates,people,3
Galeno,people,3
Aristóteles,people,3
Platón,people,3
Grecia,places,3
Roma,places,3
Cicerón,people,13
Virgilio,people,13
Homero,people,13
Platón,people,13
Aristóteles,people,13
Roma,places,13
Atenas,places,13
Grecia,places,13
Italia,places,13
Francia,places,13
España,places,13
Homero,people,9
Virgilio,people,9
Sófocles,people,9
Eurípides,people,9
Aristófanes,people,9
Platón,people,9
Cicerón,people,9
Ovidio,people,9
Grecia,places,9
Roma,places,9
Roma,places,6
Atenas,places,6
Sócrates,people,4
Platón,people,4
Aristóteles,people,4
Cicerón,people,4
Virgilio,people,4
Grecia,places,4
Roma,places,4
Atenas,places,4
Esparta,places,4
Roma,places,4
Democracia ateniense,events,4
República romana,events,4
Imperio romano,events,4
Homero,people,8
Hesíodo,people,8
Zeus,people,8
Hércules,people,8
Apolo,people,8
Atenea,people,8
Olimpo,places,8
Atenas,places,8
Esparta,places,8
Troya,places,8
Guerra de Troya,events,8
Trabajos de Hércules,events,8
Escipión el Africano,people,12
Julio César,people,12
Augusto,people,12
Virato,people,12
Sertorio,people,12
Hispania,places,12
Gallaecia,places,12
Tarraco,places,12
Itálica,places,12
Mérida,places,12
Romanización de Hispania,events,12
Guerras Púnicas,events,12
Conquista de Hispania por Roma,events,12
Platón,people,23
Aristóteles,people,23
Homero,people,23
Virgilio,people,23
Cicerón,people,23
Grecia,places,23
Roma,places,23
Atenas,places,23
Alejandría,places,23
Renacimiento,events,23
Ilustración,events,23
Humanismo,events,23
